Title,Author,Rating,Number of Ratings,Timestamp
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,8983388,2024-10-13 12:35:17
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,3497223,2024-10-13 12:35:17
Pride and Prejudice,Jane Austen,4.29,4387150,2024-10-13 12:35:17
To Kill a Mockingbird,Harper Lee,4.26,6344025,2024-10-13 12:35:17
The Book Thief,Markus Zusak,4.39,2652989,2024-10-13 12:35:17
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,6783248,2024-10-13 12:35:17
Animal Farm,George Orwell,3.99,4047066,2024-10-13 12:35:17
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,136641,2024-10-13 12:35:17
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,668767,2024-10-13 12:35:17
The Fault in Our Stars,John Green,4.13,5311290,2024-10-13 12:35:17
The Picture of Dorian Gray,Oscar Wilde,4.13,1620490,2024-10-13 12:35:17
The Giving Tree,Shel Silverstein,4.38,1158912,2024-10-13 12:35:17
Wuthering Heights,Emily Brontë,3.89,1869398,2024-10-13 12:35:17
Gone with the Wind,Margaret Mitchell,4.31,1234317,2024-10-13 12:35:17
The Perks of Being a Wallflower,Stephen Chbosky,4.23,1856183,2024-10-13 12:35:17
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3149292,2024-10-13 12:35:17
Jane Eyre,Charlotte Brontë,4.15,2150013,2024-10-13 12:35:17
The Little Prince,Antoine de Saint-Exupéry,4.33,2193371,2024-10-13 12:35:17
The Great Gatsby,F. Scott Fitzgerald,3.93,5414301,2024-10-13 12:35:17
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,3.92,2400167,2024-10-13 12:35:17
Crime and Punishment,Fyodor Dostoevsky,4.27,945498,2024-10-13 12:35:17
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,577307,2024-10-13 12:35:17
"Divergent (Divergent, #1)",Veronica Roth,4.14,4098695,2024-10-13 12:35:17
